C Maria Lugaro gave this file to Falk Herwig around 2003. It originates in Gallino's group in Torino. 
C
C ISOT.       Ni(AG89)      Xi(AG89)no      Ni(GR91)      Xi(GR91)                 these columns show the      
C these data are decreased by the factor 1.017 as input data in impterem       errors on the solar abundance 
C long-lived isotopes (*) are given at the formation of the solar system         and that on the neutron
C i.e. 4.55e9 yr ago                                                 atom %     capture cross section (these
C                                                                              (last should probably be updated) 
C  Marco   October 2005                                               AG89      sigperc sigperc*Ni MACSperc
D te130     1.634D+00     5.373D-09	1.634d+00     5.373d-09      33.97	 10.0  1.634D-01  14.84
D i 127     9.000D-01     2.891D-09	9.000d-01     2.891d-09     100.0	 21.0  1.890D-01  4.72
D xe124     5.710D-03     1.791D-11	5.710d-03     1.791d-11       0.121	 20.0  1.142D-03  10.47
D xe126     5.090D-03     1.622D-11	5.090d-03     1.622d-11       0.108	 20.0  1.018D-03  50.
D xe128     1.030D-01     3.335D-10	1.030d-01     3.335d-10       2.19	 20.0  2.060D-02  31.99
D xe129     1.280D+00     4.177D-09	1.280d+00     4.177d-09      27.34	 20.0  2.560D-01  8.59
D xe130     2.050D-01     6.741D-10	2.050d-01     6.741d-10       4.35	 20.0  4.100D-02  28.00
D xe131     1.020D+00     3.380D-09	1.020d+00     3.380d-09      21.69	 20.0  2.040D-01  17.88
D xe132     1.240D+00     4.140D-09	1.240d+00     4.140d-09      26.50	 20.0  2.480D-01  8.20
D xe134     4.590D-01     1.556D-09	4.590d-01     1.556d-09       9.76	 20.0  9.180D-02  8.42    
D xe136     3.730D-01     1.283D-09	3.730d-01     1.283d-09       7.94	 20.0  7.460D-02  8.79    1
D cs133     3.720D-01     1.251D-09	3.720d-01     1.251d-09     100.0	  5.6  2.083D-02  4.23
D ba130     4.760D-03     1.565D-11	4.760d-03     1.565d-11       0.106	  6.3  2.999D-04  16.22
D ba132     4.530D-03     1.513D-11	4.530d-03     1.513d-11       0.101	  6.3  2.854D-04  50.
D ba134     1.090D-01     3.695D-10	1.090d-01     3.695d-10       2.417	  6.3  6.867D-03  3.18
D ba135     2.960D-01     1.011D-09	2.960d-01     1.011d-09       6.592	  6.3  1.865D-02  3.3
D ba136     3.530D-01     1.214D-09	3.530d-01     1.214d-09       7.854	  6.3  2.224D-02  3.39
D ba137     5.040D-01     1.747D-09	5.040d-01     1.747d-09      11.23	  6.3  3.175D-02  3.77
D ba138     3.220D+00     1.124D-08	3.220d+00     1.124d-08      71.70	  6.3  2.029D-01  4.9	  1
D la138     4.090D-04     1.428D-12	4.090d-04     1.428d-12       0.089	  2.0  8.180D-06  50.
D la139     4.460D-01     1.568D-09	4.460d-01     1.568d-09      99.911	  2.0  8.920D-03  7.03
D ce136     2.160D-03     7.431D-12	2.160d-03     7.431d-12       0.19	  1.7  3.672D-05  50.
D ce138     2.830D-03     9.879D-12	2.830d-03     9.879d-12       0.25	  1.7  4.811D-05  50.
D ce140     1.005D+00     3.559D-09	1.005d+00     3.559d-09      88.48	  1.7  1.708D-02  3.64    
D ce142     1.260D-01     4.526D-10	1.260d-01     4.526d-10      11.08	  1.7  2.142D-03  3.53
D pr141     1.670D-01     5.956D-10	1.670d-01     5.956d-10     100.0	  2.4  4.008D-03  3.
D nd142     2.250D-01     8.082D-10	2.250d-01     8.082d-10      27.13	  1.3  2.925D-03  2.0  
D nd143     1.000D-01     3.617D-10	1.000d-01     3.617d-10      12.18	  1.3  1.300D-03  1.5	  
D nd144     1.970D-01     7.176D-10	1.970d-01     7.176d-10      23.80	  1.3  2.561D-03  1.8	 
D nd145     6.870D-02     2.520D-10	6.870d-02     2.520d-10       8.30	  1.3  8.931D-04  1.4	  
D nd146     1.420D-01     5.244D-10	1.420d-01     5.244d-10      17.19	  1.3  1.846D-03  1.4
D nd148     4.770D-02     1.786D-10	4.770d-02     1.786d-10       5.76	  1.3  6.201D-04  1.6	  
D nd150     4.670D-02     1.772D-10	4.670d-02     1.772d-10       5.64	  1.3  6.071D-04  6.29
D sm144     8.000D-03     2.914D-11	8.000d-03     2.914d-11       3.1	  1.3  1.040D-04  9.78
D sm147     3.990D-02     1.484D-10	3.990d-02     1.484d-10      15.0	  1.3  5.187D-04  1.03
D sm148     2.920D-02     1.093D-10	2.920d-02     1.093d-10      11.3	  1.3  3.796D-04  0.91
D sm149     3.560D-02     1.342D-10	3.560d-02     1.342d-10      13.8	  1.3  4.628D-04  0.94
D sm150     1.910D-02     7.247D-11	1.910d-02     7.247d-11       7.4	  1.3  2.483D-04  0.90
D sm152     6.890D-02     2.649D-10	6.890d-02     2.649d-10      26.7	  1.3  8.957D-04  0.93
D sm154     5.860D-02     2.283D-10	5.860d-02     2.283d-10      22.7	  1.3  7.618D-04  6.48
D eu151     4.650D-02     1.776D-10	4.650d-02     1.776d-10      47.8	  1.6  7.440D-04  4.01
D eu153     5.080D-02     1.966D-10	5.080d-02     1.966d-10      52.2	  1.6  8.128D-04  10.0
D gd152     6.600D-04     2.538D-12	6.600d-04     2.538d-12       0.20	  1.4  9.240D-06  1.62
D gd154     7.190D-03     2.801D-11	7.190d-03     2.801d-11       2.18	  1.4  1.007D-04  1.17
D gd155     4.880D-02     1.913D-10	4.880d-02     1.913d-10      14.80	  1.4  6.832D-04  1.13
D gd156     6.760D-02     2.667D-10	6.760d-02     2.667d-10      20.47	  1.4  9.464D-04  0.83
D gd157     5.160D-02     2.049D-10	5.160d-02     2.049d-10      15.65	  1.4  7.224D-04  1.10
D gd158     8.200D-02     3.277D-10	8.200d-02     3.277d-10      24.84	  1.4  1.148D-03  0.86
D gd160     7.210D-02     2.918D-10	7.210d-02     2.918d-10      21.86	  1.4  1.009D-03  9.56
D tb159     6.030D-02     2.425D-10	6.030d-02     2.425d-10     100.0	  2.2  1.327D-03  5.55
D dy156     2.210D-04     8.721D-13	2.210d-04     8.721d-13       0.056	  1.4  3.094D-06  10.03
D dy158     3.780D-04     1.511D-12	3.780d-04     1.511d-12       0.096	  1.4  5.292D-06  50.
D dy160     9.220D-03     3.732D-11	9.220d-03     3.731d-11       2.34	  1.4  1.291D-04  5.05
D dy161     7.450D-02     3.034D-10	7.450d-02     3.034d-10      18.91	  1.4  1.043D-03  2.99
D dy162     1.010D-01     4.139D-10	1.010d-01     4.139d-10      25.51	  1.4  1.414D-03  10.57
D dy163     9.820D-02     4.049D-10	9.820d-02     4.049d-10      24.90	  1.4  1.375D-03  3.33
D dy164     1.110D-01     4.605D-10	1.110d-01     4.605d-10      28.19	  1.4  1.554D-03  10.7
D ho165     8.890D-02     3.710D-10	8.890d-02     3.710d-10     100.0	  2.4  2.134D-03  5.01
D er162     3.510D-04     1.438D-12	3.510d-04     1.438d-12       0.14	  1.3  4.563D-06  50.
D er164     4.040D-03     1.676D-11	4.040d-03     1.676d-11       1.61	  1.3  5.252D-05  4.70
D er166     8.430D-02     3.540D-10	8.430d-02     3.540d-10      33.6	  1.3  1.096D-03  10.03
D er167     5.760D-02     2.433D-10	5.760d-02     2.433d-10      22.95	  1.3  7.488D-04  10.01
D er168     6.720D-02     2.856D-10	6.720d-02     2.856d-10      26.8	  1.3  8.736D-04  12.05
D er170     3.740D-02     1.608D-10	3.740d-02     1.608d-10      14.9	  1.3  4.862D-04  4.1
D tm169     3.780D-02     1.616D-10	3.780d-02     1.616d-10     100.0	  2.3  8.694D-04  4.96
D yb168     3.220D-04     1.368D-12	3.220d-04     1.368d-12       0.13	  1.6  5.152D-06  50.
D yb170     7.560D-03     3.251D-11	7.560d-03     3.251d-11       3.05	  1.6  1.210D-04  3.93
D yb171     3.540D-02     1.531D-10	3.540d-02     1.531d-10      14.3	  1.6  5.664D-04  3.61
D yb172     5.430D-02     2.362D-10	5.430d-02     2.362d-10      21.9	  1.6  8.688D-04  8.29
